Date,Vehicle Class,"Vehicle Year, Make, & Model",Average Fuel Efficiency,Equipment Number
2022-01,Intermediate Sedan,2012  FORD  2012 FORD FUSION HYBRID,25,2915
2022-01,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,16,0740
2022-01,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,15,0769
2022-02,Sport Utility Compact,2011  FORD  2011 FORD ESCAPE HYBRID,35,2857
2022-02,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,12,0744
2022-02,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,19,0796
2022-03,Compact Sedan,2010  HONDA  2010 HONDA INSIGHT HYBRID,29,2845
2022-03,Compact Sedan,2011  TOYOTA  2011 TOYOTA PRIUS HYBRID,33,2946
2022-03,Intermediate Sedan,2013  TOYOTA  2013 TOYOTA CAMRY HYBRID,35,0051
2022-03,Intermediate Sedan,2010  TOYOTA  2010 TOYOTA CAMRY HYBRID,56,2780
2022-03,Sport Utility Compact,2016  FORD  2016 FORD ESCAPE HYBRID,16,0214
2022-03,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,21,0736
2022-03,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,20,0741
2022-04,Intermediate Sedan,2013  TOYOTA  2013 TOYOTA CAMRY HYBRID,23,0051
2022-04,Sport Utility Compact,2017  FORD  2017 FORD ESCAPE HYBRID,14,0354
2022-04,Sport Utility Compact,2010  FORD  2010 FORD ESCAPE HYBRID,29,2791
2022-04,Sport Utility Compact,2011  FORD  2011 FORD ESCAPE HYBRID,28,2857
2022-04,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,20,0741
2022-04,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,17,0769
2022-04,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,19,0794
2022-04,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,22,0797
2022-04,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,20,0798
2022-05,Intermediate Sedan,2012  FORD  2012 FORD FUSION HYBRID,31,2915
2022-05,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,18,0769
2022-05,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,19,0798
2022-01,Intermediate Sedan,2013  TOYOTA  2013 TOYOTA CAMRY HYBRID,33,0051
2022-01,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,16,0741
2022-01,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,17,0795
2022-02,Compact Sedan,2010  TOYOTA  2010 TOYOTA PRIUS HYBRID,81,2806
2022-02,Intermediate Sedan,2013  TOYOTA  2013 TOYOTA CAMRY HYBRID,34,0051
2022-02,Intermediate Sedan,2010  TOYOTA  2010 TOYOTA CAMRY HYBRID,27,2788
2022-02,Sport Utility Compact,2010  FORD  2010 FORD ESCAPE HYBRID,23,2791
2022-02,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,20,0736
2022-02,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,16,0740
2022-02,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,18,0768
2022-02,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,17,0769
2022-02,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,15,0794
2022-02,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,17,0795
2022-03,Intermediate Sedan,2022  TOYOTA  2022 TOYOTA CAMRY HYBRID,9,0886
2022-03,Intermediate Sedan,2010  TOYOTA  2010 TOYOTA CAMRY HYBRID,14,2786
2022-03,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,18,0740
2022-03,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,19,0794
2022-03,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,19,0798
2022-04,Compact Sedan,2010  HONDA  2010 HONDA INSIGHT HYBRID,25,2845
2022-04,Intermediate Sedan,2012  FORD  2012 FORD FUSION HYBRID,28,2915
2022-05,Intermediate Sedan,2013  TOYOTA  2013 TOYOTA CAMRY HYBRID,38,0018
2022-05,Intermediate Sedan,2019  TOYOTA  2019 TOYOTA CAMRY HYBRID,48,0667
2022-05,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,19,0736
2022-05,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,15,0795
2022-01,Compact Sedan,2010  HONDA  2010 HONDA INSIGHT HYBRID,20,2845
2022-01,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,12,0794
2022-01,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,18,0796
2022-02,Sport Utility Compact,2017  FORD  2017 FORD ESCAPE HYBRID,20,0354
2022-02,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,20,0797
2022-02,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,17,0798
2022-02,Sport Utility Emergency Services Law Enforcement,2021  FORD  2021 POLICE UTILITY INTERCEPTOR HYBRID,19,0830
2022-03,Intermediate Sedan,2020  FORD  2020 FORD FUSION HYBRID,34,0766
2022-03,Intermediate Sedan,2022  TOYOTA  2022 TOYOTA CAMRY HYBRID,9,0884
2022-03,Intermediate Sedan,2012  FORD  2012 FORD FUSION HYBRID,26,2915
2022-03,Sport Utility Compact,2017  FORD  2017 FORD ESCAPE HYBRID,17,0354
2022-03,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,18,0768
2022-03,Sport Utility Emergency Services Law Enforcement,2020  FORD  2020 POLICE UTILITY INTERCEPTOR HYBRID,16,0769
